rank,paper_id,extraction_timestamp,new_count,cumulative_count,in_final_window
131,doi:10.1109/ase63991.2025.00024,2026-04-17T09:15:55.312257+00:00,1,389,False
132,doi:10.24251/hicss.2025.719,2026-04-17T09:16:03.214809+00:00,1,390,False
133,doi:10.1109/acdsa65407.2025.11165833,2026-04-17T09:16:03.449523+00:00,0,390,False
134,doi:10.1109/trustcom66490.2025.00026,2026-04-17T09:16:04.949796+00:00,2,392,False
135,doi:10.1109/icoailo66760.2025.11156083,2026-04-17T09:16:06.064253+00:00,2,394,False
136,doi:10.1109/esem64174.2025.00061,2026-04-17T09:16:06.534166+00:00,1,395,False
137,doi:10.1109/ase63991.2025.00251,2026-04-17T09:16:17.960300+00:00,0,395,False
138,doi:10.24251/hicss.2025.522,2026-04-17T09:16:29.360444+00:00,2,397,False
139,doi:10.1109/fie63693.2025.11328290,2026-04-17T09:16:31.091131+00:00,1,398,False
140,doi:10.1109/saner64311.2025.00015,2026-04-17T09:16:43.560540+00:00,3,401,False
141,doi:10.1109/icodse68111.2025.11351919,2026-04-17T09:16:51.480289+00:00,0,401,False
142,doi:10.1109/nlbse66842.2025.00015,2026-04-17T09:16:54.773806+00:00,1,402,False
143,doi:10.1109/ecce58356.2025.11260366,2026-04-17T09:16:56.872956+00:00,0,402,False
144,doi:10.1109/msr66628.2025.00105,2026-04-17T09:16:59.739710+00:00,0,402,False
145,doi:10.1109/educon62633.2025.11016313,2026-04-17T09:17:12.907061+00:00,1,403,False
146,doi:10.32604/cmc.2025.068137,2026-04-17T09:17:14.155712+00:00,1,404,False
147,doi:10.1109/temsconglobal64363.2025.11238312,2026-04-17T09:17:14.542779+00:00,0,404,False
148,doi:10.1109/icimtech67074.2025.11264926,2026-04-17T09:17:38.516310+00:00,1,405,False
149,doi:10.1134/s0361768824700774,2026-04-17T09:17:42.180185+00:00,3,408,False
150,doi:10.1145/3658644.3690283,2026-04-17T09:17:51.771340+00:00,3,411,False
151,doi:10.1186/s40537-024-01019-z,2026-04-17T09:17:53.005026+00:00,3,414,False
152,doi:10.1145/3687272.3688296,2026-04-17T09:17:54.331877+00:00,3,417,False
153,doi:10.1002/stvr.1893,2026-04-17T09:18:04.729302+00:00,3,420,False
154,doi:10.1145/3691620.3695257,2026-04-17T09:18:06.677424+00:00,1,421,False
155,doi:10.18421/tem134-10,2026-04-17T09:18:15.826799+00:00,3,424,False
156,doi:10.1145/3691620.3695529,2026-04-17T09:18:17.805087+00:00,1,425,False
157,doi:10.1145/3674805.3690746,2026-04-17T09:18:25.473749+00:00,4,429,False
158,doi:10.1145/3678719.3685691,2026-04-17T09:18:25.614288+00:00,0,429,False
159,doi:10.1145/3643795.3648393,2026-04-17T09:18:36.630503+00:00,1,430,False
160,doi:10.1145/3643795.3648377,2026-04-17T09:18:38.377314+00:00,0,430,False
161,doi:10.1515/labmed-2024-0034,2026-04-17T09:18:45.119666+00:00,3,433,False
162,doi:10.1145/3650212.3652142,2026-04-17T09:18:46.530820+00:00,3,436,False
163,doi:10.1145/3650212.3680368,2026-04-17T09:18:49.772657+00:00,0,436,False
164,doi:10.1145/3650212.3680355,2026-04-17T09:18:50.522745+00:00,2,438,False
165,doi:10.1145/3643795.3648379,2026-04-17T09:18:56.937603+00:00,1,439,False
166,doi:10.1145/3643795.3648396,2026-04-17T09:19:02.768971+00:00,0,439,False
167,doi:10.1145/3643787.3648032,2026-04-17T09:19:18.673992+00:00,3,442,False
168,doi:10.1145/3663529.3663839,2026-04-17T09:19:22.201927+00:00,3,445,False
169,doi:10.1145/3643690.3648236,2026-04-17T09:19:23.940287+00:00,5,450,False
170,doi:10.1145/3649217.3653615,2026-04-17T09:19:28.702091+00:00,1,451,False
171,doi:10.1145/3664646.3664762,2026-04-17T09:19:31.438577+00:00,4,455,False
172,doi:10.1145/3663529.3663801,2026-04-17T09:19:31.533269+00:00,1,456,False
173,doi:10.1145/3664646.3665664,2026-04-17T09:19:33.840161+00:00,3,459,False
174,doi:10.1145/3663529.3663803,2026-04-17T09:19:34.200900+00:00,2,461,False
175,doi:10.1145/3643991.3645077,2026-04-17T09:19:38.493933+00:00,2,463,False
176,doi:10.1145/3643991.3645081,2026-04-17T09:19:58.584328+00:00,4,467,False
177,doi:10.1145/3643991.3645073,2026-04-17T09:20:01.490348+00:00,2,469,False
178,doi:10.1145/3643991.3645074,2026-04-17T09:20:04.361969+00:00,2,471,False
179,doi:10.1145/3643991.3645071,2026-04-17T09:20:08.237405+00:00,2,473,False
180,doi:10.1145/3643991.3645075,2026-04-17T09:20:08.984768+00:00,4,477,False
181,doi:10.1145/3643991.3644918,2026-04-17T09:20:09.186008+00:00,2,479,False
182,doi:10.1145/3643991.3644917,2026-04-17T09:20:10.865759+00:00,2,481,False
